x,y,theta
0.07257958740671956,-0.1368042444637194,0.06407400045793699
0.8869281600366095,-0.05450426347173315,0.08560301940793646
1.363587353068716,0.005106034564810574,0.09753335212160286
2.1585291675133282,0.07225253591279983,0.0786774361194702
3.011843701046258,0.21605734074834812,0.073926937707264
3.385518537101521,0.1815478753125192,0.06038476866396092
4.212032520874345,0.21511252775160544,0.0888357353374869
5.0677891715256065,0.322929834047113,0.07762436326243494
5.99041366601765,0.34860975121295645,0.0630929156347193
6.493235427967116,0.3537650558740323,0.1550090178034571
7.381638233386048,0.5410626555212156,0.29059824170316517
8.152876833842637,0.8875491710154816,0.38592736696747565
8.60548930183409,1.117886751226608,0.3637180137465168
9.44194846214467,1.4015013767386266,0.37801185441872986
10.191397252492083,1.691286533206313,0.4015118223971421
10.616840692103064,1.836316478555605,0.36664805392630173
11.554084116499935,2.1365215050129542,0.3574442450830597
12.42815574174475,2.4524040531886366,0.34807517437834656
12.882018831713854,2.689170025247831,0.35107469767828636
13.67953288295941,2.9736307887064504,0.6320881241444334
14.221294363969756,3.659071687531639,0.8694523364571882
14.707121523480325,4.226639386226944,0.8707892991736159
15.021503254491504,4.570682923550555,0.8477930279925463
15.672878403854877,5.30667295050899,0.8448803603663011
16.29530869944061,6.074004780802064,0.8665987127682566
16.479713470561506,6.417665361731094,0.8955735630499806
16.979876114046764,7.089057757753146,0.8870192353573092
17.533231625398944,7.7328033827932945,0.8556790782398829
17.791568461878345,8.055845645773127,1.1955545589174879
17.8375385726965,8.775741764922671,1.6802795146951466
17.540539272025534,9.563050511543707,1.9480365113869293
17.360139129408573,10.046485205458628,1.926665958219477
17.07365561032232,10.863206476180649,1.9196848614731934
16.76202295038119,11.743016595722363,1.8960381661080383
16.553979533624812,12.092252592794036,1.8963067736510588
16.26292590606281,12.99714731136707,1.9079065945875282
15.982287420105695,13.736104835463646,1.921065615631532
15.681821025269633,14.576242442386924,1.9175022338085714
15.51300661991389,14.97632714252297,2.4834314792453203
14.602433863981277,15.370361138145176,2.7414580806377327
13.768213221734554,15.73597959466381,2.7280792256190667
13.346383184381866,15.907875821909201,2.737776839306168
12.530768790773683,16.300189180218332,2.7476273848949706
11.723031300344024,16.656172851084794,2.772708316657951
11.323253271973813,16.87405707274889,2.7683635528074735
10.583368515430783,17.214026517380287,2.786196554818625
9.771491025503654,17.548430621441497,2.773789103677089
9.40918460313632,17.73925217259956,2.7689654670169546
8.648182057263694,18.014453302958742,-3.100431678203118
7.802624213427174,17.609032798174624,-2.701059949289145
6.958916670927737,17.27453988001013,-2.7083031270483016
6.530718023219033,17.066615811250823,-2.7192511628520686
5.770744280925347,16.700687937083067,-2.6771206927378026
4.979270959727405,16.313614830223642,-2.687592095652504
4.510562800696,16.163182990939877,-2.668216131855903
3.694651029865487,15.788960130640366,-2.679023039585234
2.8396234269083354,15.40748862801151,-2.6780628723676276
2.3178737823539475,15.198215184785445,-2.540202451994449
1.7079321900190403,14.730747297492275,-2.3732955094760846
1.1491436312753756,14.118450486747006,-2.275330210005748
0.9654936000644763,13.90540103326005,-2.294514761063045
0.4086625701648478,13.28735417980417,-2.2759480281077704
-0.23277655657908852,12.5742389259032,-2.2862550302177427
-0.8576815133588251,11.917196665164592,-2.311437042125344
-1.1146804296459552,11.69211712374782,-2.2794656814456027
-1.729859355416559,11.032745042718506,-2.2702269083559177
-2.3135264009150047,10.261827173736833,-2.2427556041059478
-2.6480055598294747,9.852535835297303,-2.2469634381735397
-3.243388852089616,9.113401039618582,-2.101897669564098
-3.6110993045741564,8.300257174533995,-1.8146158773416663
-3.5749327930165684,8.17069687242497,-1.7081655648364367
-3.5795102799420198,7.52965064243849,-1.7303251230076422
-3.68793426030351,6.666071767028737,-1.6155996583573937
-3.5189651996728264,6.126825642742484,-1.6155462511331926
-3.619227901427104,5.204472237578261,-1.585516016055537
-3.717546825824617,4.164779244945624,-1.610672653748271
-3.7802854918862905,3.400680851393806,-1.6134648273875905
-3.949676598132756,2.799282262099805,-0.9454287232259015
-3.0916898341145496,2.2403379741270832,-0.6911101629726684
-2.61635937148083,1.8390801062889273,-0.592716507504051
-2.292027700288969,1.5327696976796605,-0.6702495541212508
-1.5818899873770016,0.8387057986831581,-0.6745346851018001
-0.813343904673495,0.6403162369055232,-0.753444624528048
-0.6573626779553055,0.38807007765148793,-0.66706519925848
-0.31928719007289935,-0.04950675648829873,-0.5557209598894173
0.7074340249310695,-0.4851856856482065,-0.4947742596931768
1.2686631223367326,-0.7822023793394111,-0.4638063275733644
1.9427073787812998,-1.0697911916413745,-0.520215819867965
2.5162722752333972,-1.505349756951261,-0.4771839053205382
3.2336599438897817,-1.9227310796457011,-0.48092811307918915
3.6069929983533178,-2.118292688253672,-0.5018906762905937
4.372346808489304,-2.5337839241359106,-0.49868197039407347
