x,y,theta
0.0953721249709804,-0.022545339771575076,0.06722332909445239
0.9237752308606316,0.054148918132530005,0.08269706231822838
1.4145820570152305,0.10428174452652786,0.08976676445015119
2.2237972030959248,0.15718202973546833,0.06798963800140978
3.0926231045591184,0.2836263913812452,0.06251510076724331
3.4799644147786832,0.23658006582318575,0.049051220399780604
4.312215263579168,0.2561926121885674,0.07258575724842276
5.174797738760137,0.34556406469185746,0.057587539291521495
6.103809113961656,0.34827543089074275,0.04041305338673773
6.6127666086953925,0.33749101589074226,0.13030123841202856
7.51098152064984,0.4984778009605622,0.2650785248510026
8.29594059894366,0.8240617804866391,0.36305968714346504
8.758425539655196,1.0430151598856234,0.3438666286328971
9.605174661157172,1.308981922768125,0.3617580425934279
10.364000373833413,1.5855848007742046,0.3894012991459861
10.79693647761414,1.7243842989232046,0.35904226917567517
11.748396962134962,2.0371686301055516,0.34630933561370636
12.637827987270967,2.362820472587342,0.32988054095357366
13.107830432367814,2.61058077639897,0.3240249599814242
13.924907964780074,2.892617061371741,0.5929597764379277
14.508734953459554,3.581159408931498,0.816293296242486
15.02414006743898,4.128062793641831,0.8092391701911978
15.360721151662515,4.45802236577618,0.7774842970294489
16.063892016044402,5.152209574531018,0.7650526804710998
16.763028929219292,5.87157310175328,0.7813003767538564
16.993236712007782,6.202227589101566,0.8058857193096678
17.55501735540799,6.821081801601247,0.800301256358031
18.165592133975224,7.409508919610768,0.7732855842808721
18.45337082396724,7.705440669733554,1.1181447206652564
18.55958848974424,8.411014840359266,1.60917520808834
18.32579755162947,9.203415702903078,1.8842103627147715
18.177020642045733,9.697294858297656,1.8654192673376988
17.941467921002893,10.529950249690554,1.8611021355599906
17.682271570235947,11.426427661529162,1.8402072457536711
17.49441178184387,11.786667179102391,1.843262552157948
17.25210334718756,12.705655457717624,1.8577322055438161
17.016420667381258,13.452221954536178,1.8790764772490753
16.759122234502343,14.29859940256464,1.8850221902486046
16.611010314576934,14.698336071379442,2.461078691980239
15.72199170809538,15.106225387701876,2.729621295664824
14.906465516712133,15.476875039498179,2.7271106034677173
14.512359933055647,15.639067832310696,2.7413934914075497
13.722976217020705,16.01857618299522,2.7563924215557147
12.915437856066049,16.367293645553218,2.7986667726077243
12.513310368757514,16.574600145356285,2.8116518122712755
11.762395175492815,16.88211156393966,2.8470165266660876
10.919771333809406,17.16189454072427,2.843329373223505
10.533269029492907,17.322328186269186,2.846291869866768
9.728052412932538,17.5420352684059,-3.026974594133941
8.888063236533506,17.07363227766324,-2.6302265228616957
8.05391897523873,16.673206103905223,-2.639805780128135
7.662155188927377,16.4521959349121,-2.6659605594043234
6.944417730180938,16.061740683143643,-2.638196150112073
6.190572580568475,15.660168980427155,-2.6621531998961356
5.7482330814751075,15.513580270047564,-2.6555350670482807
4.9598366979162405,15.144966180933842,-2.6781028888129192
4.113242705470756,14.767415716854371,-2.692735807107306
3.586276120469816,14.574097051657768,-2.5692150512065135
2.9621476763471284,14.133775593372858,-2.414993018513827
2.378654541763056,13.556145244384894,-2.328035255454367
2.184848158205328,13.364950626132153,-2.357668498357275
1.5965467491698542,12.789187978852246,-2.351232587833927
0.9095945158118984,12.132149265988579,-2.373756394880594
0.23595889032797276,11.537850547652644,-2.4112088131125016
-0.03030788761599473,11.345071733368805,-2.3918023199654637
-0.7039232287114596,10.764268769394985,-2.3960190302861757
-1.3604694757329852,10.071936996011493,-2.3782170471526096
-1.7285276769829905,9.710397545117901,-2.39401147522068
-2.407129916033222,9.065089250282398,-2.2639767665399013
-2.885364670688364,8.318688712267464,-1.9951631751243006
-2.860916400491281,8.176247811290787,-1.9076155301902293
-3.0101836834789077,7.5063180391795745,-1.9155001675353527
-3.2934522018895906,6.634798173035817,-1.7858392066761513
-3.232123675675323,6.031429955859229,-1.7693216055139305
-3.485529420583275,5.0917372338443,-1.722094716344255
-3.735883617500009,4.031298368405168,-1.7291840758776362
-3.902344189240731,3.2396936855790903,-1.734256026180781
-4.168480120768818,2.6420337723032596,-1.0614067697636567
-3.407882072631727,1.9873699674512197,-0.7968218322117773
-3.0119628555000975,1.5425698972898054,-0.6845971140001628
-2.7549758163721436,1.2123659763428212,-0.7456721584947381
-2.124567739874495,0.4604277645724254,-0.7214012982031832
-1.3912118406557885,0.2189984927046897,-0.7680396878894786
-1.2613961628441968,-0.04500002835055034,-0.6476194461585396
-0.9395249860947538,-0.4849992402085307,-0.49890283340394603
0.09684872836081365,-0.8613623258725385,-0.4026468982466298
0.6754822347466455,-1.1044220775989633,-0.3536539599319095
1.3693573597901945,-1.3153818581827097,-0.3917023806120321
1.986538407195547,-1.673069483551366,-0.32983428425501327
2.7497436709942003,-1.9801506742700037,-0.3142586437899806
3.1582351609534873,-2.106708116730879,-0.32418470926277454
4.002414953747429,-2.378643944246403,-0.32395064029941434
4.814230943378446,-2.6733080854677844,-0.3435305797632413
5.1934110984902775,-2.800807957763465,0.11738905863457072
6.055614261046747,-2.5051239008411326,0.33888717260486123
6.911410317944853,-2.1970286890411064,0.30353376300179535
7.333323468811126,-2.081588326397135,0.29394742327900225
8.246695791953561,-1.8299601337147802,0.28626983664336825
9.067792914598533,-1.5335044033604692,0.2876612184876275
9.431126407731975,-1.4091630184091823,0.2702553551591951
10.402394012567026,-1.1324158138854385,0.24469401266015334
11.234176538463265,-0.9379634151535786,0.25727949389673643
11.545191468946154,-0.8782912211914643,0.5663436961076913
12.153759042032348,-0.30839706601934086,0.7179991135784882
12.919408562514363,0.33462232175398965,0.7209649732225727
13.636087929296977,0.9270730253812122,0.7255760040037127
13.901905338759606,1.1903098172173847,0.7332938209898652
14.547117823326573,1.7645567322877587,0.7421476757098047
15.199294851579237,2.374247545252368,0.7370257168099568
15.552550521240473,2.747342674708101,0.7430621017600529
16.261316752963687,3.338347530771806,0.7397825329533876
16.933472229685602,3.9629216355229477,0.7418060669692674
17.230579240241696,4.24506307038778,0.900064280320855
17.761136816102596,5.043818926403337,1.172721547710438
18.006857061074225,5.905085681010835,1.3070736808608387
18.170800737824585,6.409448230341537,1.2872674223562788
18.41540821463723,7.262115999669074,1.247401008999364
18.712881041836038,8.166082764989692,1.2413956085059796
18.980729520049938,9.085915967278744,1.2386996790062295
19.101241913540424,9.546665492685952,1.2589793709277073
19.31282785305504,10.251695622802849,1.2309202944880457
19.585603235678658,11.063238056256505,1.2263766325614966
19.723026071620943,11.496249898488479,1.5578859278463435
19.62250997652436,12.246458326402175,1.9871136005266452
19.139899081677193,12.87781003055663,2.2418343047424507
18.885114742084486,13.318195485878126,2.252845928304069
18.352232382090396,13.972249150280602,2.2294768056206413
17.82359961684239,14.699914340254567,2.217841569428092
17.61009172954009,15.122408523312211,2.2307211887334875
17.156595089186727,15.81602959362619,2.2343384140131555
16.637689525602337,16.4600246083415,2.223736527424993
16.23580011385874,16.984123882754076,2.2222195642607643
15.926904258818553,17.335520430434578,2.22167947428772
15.420046279042026,18.00661212833063,2.4312003684872323
14.693428214683305,18.380886658802066,2.8179389759549345
