factor_index,kind,factor_id,label,pose_ids,raw_residual,normalized_norm,robust_weight
45,odometry,44,"odom(44,45)","[44, 45]","[-0.17169830295707422, -0.027446022743056922, -0.05408515872227948]",4.403281797006422,1.0
46,odometry,45,"odom(45,46)","[45, 46]","[-0.16342968449814554, -0.036560852577242633, -0.03649223541094315]",3.745773866385999,1.0
47,odometry,46,"odom(46,47)","[46, 47]","[-0.1596473545831371, -0.03920575680824984, -0.032272291731623604]",3.5909363034348494,1.0
48,odometry,47,"odom(47,48)","[47, 48]","[-0.12318358874428903, -0.03521744191609913, -0.010538062090681866]",2.5241783620093097,1.0
49,odometry,48,"odom(48,49)","[48, 49]","[-0.1473374466029087, -0.012989507092372121, -0.013496407347698192]",2.8064643948811634,1.0
50,odometry,49,"odom(49,50)","[49, 50]","[-0.15599089485806672, 0.007806911109350084, -0.014129358469528785]",2.951261086005442,1.0
51,odometry,50,"odom(50,51)","[50, 51]","[0.060562930195135534, 0.027657755160938276, 0.03672939368682071]",2.4496322508109416,1.0
52,odometry,51,"odom(51,52)","[51, 52]","[0.06163802922524886, 0.027265451735050003, 0.030546105896997577]",2.177760175283246,1.0
53,odometry,52,"odom(52,53)","[52, 53]","[0.06589253175996423, 0.025581734084009197, 0.024273584168645]",1.946298707934762,1.0
54,odometry,53,"odom(53,54)","[53, 54]","[0.06644823611816048, 0.025344887187523826, 0.020251648325972926]",1.8027298941307144,1.0
55,odometry,54,"odom(54,55)","[54, 55]","[0.06866753705871498, 0.024355443081322148, 0.013933371600322708]",1.6254792147813033,1.0
56,odometry,55,"odom(55,56)","[55, 56]","[0.012677293072199669, 0.02165093080892292, 0.0023316425555410802]",0.6727343656419915,1.0
57,odometry,56,"odom(56,57)","[56, 57]","[0.0304455073097315, 0.005500975242635535, 0.001329588697888795]",0.5801565385522323,1.0
58,odometry,57,"odom(57,58)","[57, 58]","[0.03201256043443246, 0.003769567815550205, 0.0006741231453304408]",0.5931108635343374,1.0
59,odometry,58,"odom(58,59)","[58, 59]","[0.0331096235449595, 0.001579068366359522, 0.0004948331188701083]",0.6043070198998037,1.0
60,odometry,59,"odom(59,60)","[59, 60]","[0.033331795483744875, 0.00026908595193649975, 0.0004559941053177141]",0.6066106132789446,1.0
61,odometry,60,"odom(60,61)","[60, 61]","[0.020724934530549133, -0.00786530389286152, 0.001309297665545106]",0.444727314944539,1.0
62,odometry,61,"odom(61,62)","[61, 62]","[0.020406701481657685, -0.008000599832110922, 0.003310428902119078]",0.4730122362911681,1.0
63,odometry,62,"odom(62,63)","[62, 63]","[0.020640116828996913, -0.007901763855441536, 0.005143204413462943]",0.5229192896312017,1.0
64,odometry,63,"odom(63,64)","[63, 64]","[0.028535080849340477, -0.008426849120522509, 0.005814309493508585]",0.6568734609905535,1.0
65,odometry,64,"odom(64,65)","[64, 65]","[0.027871118136405526, -0.008783686282964463, 0.007824837429903475]",0.7132677264609346,1.0
66,odometry,65,"odom(65,66)","[65, 66]","[0.029063913277693088, -0.017633139453323163, 0.0055520659432923836]",0.7925919593042093,1.0
67,odometry,66,"odom(66,67)","[66, 67]","[0.027814985651943847, -0.0179604214559778, 0.008113338681283722]",0.849856013582722,1.0
68,odometry,67,"odom(67,68)","[67, 68]","[0.027942867468278898, -0.01792779120108883, 0.012679297070347761]",1.0083034899849628,1.0
69,odometry,68,"odom(68,69)","[68, 69]","[0.021156117889449266, -0.019392020366219703, 0.017516793951464216]",1.1840489060673454,1.0
70,odometry,69,"odom(69,70)","[69, 70]","[0.006568250356200664, -0.021032665962220504, 0.01827941886432649]",1.1860312595614362,1.0
71,odometry,70,"odom(70,71)","[70, 71]","[-0.07144357343198116, 0.004801161582421359, -0.02254906635629128]",1.8098268106236999,1.0
72,odometry,71,"odom(71,72)","[71, 72]","[-0.07173122679601462, 0.004037019447880971, -0.02370610959130337]",1.8570830718345501,1.0
73,odometry,72,"odom(72,73)","[72, 73]","[-0.0701998712875338, 0.0072070166522476276, -0.026159518971931917]",1.9451475904527062,1.0
74,odometry,73,"odom(73,74)","[73, 74]","[-0.0702872303100045, 0.007066043945312878, -0.02743593959199897]",1.9992890707042412,1.0
