model,rmse_ate_m,mean_position_error_m,max_position_error_m,final_drift_m,heading_rmse_rad,relative_translation_rmse_m_lag5,relative_rotation_rmse_rad_lag5,objective_initial,objective_final,build_time_s,solve_time_s,nfev,solver_used,converged
dead_reckoning,8.92138393881467,6.716045127543169,20.294304266746988,12.211935570739245,0.7328797304014201,0.23251717868750796,0.07315899641858055,,,,,,-,True
odometry_only,8.921383938814692,6.716045127543177,20.29430426674705,12.211935570739268,0.7328797304014222,0.23251717868750807,0.07315899641858059,9.11768034272997e-26,1.1191690602061675e-25,0.0005965839955024421,0.1834907500015106,2.0,lm (dense),True
odometry_gps,1.3407212291213055,1.1352132524879803,2.9003816039254118,0.43144299627015725,0.10732472101635754,0.234462889317371,0.06176180708979361,3207.8713084327187,158.25338383908857,0.0008473750058328733,0.9946231669891858,120.0,"trf (sparse, lsmr)",True
odometry_loops,5.733977044497687,4.53430623274355,13.526383057389967,8.61272921170873,0.4960105162612487,0.6908107412998047,0.26382658446911633,33535.92405095704,2229.3019852610137,0.0008677080040797591,4.396058749989606,26.0,lm (dense),True
odometry_landmarks,0.2655781623091789,0.1984726935729075,0.8053900157674542,0.07725394545407632,0.036883056219098195,0.24292576197335708,0.04519333318927372,84011.45019321535,502.59437719035145,0.002532707992941141,0.25651966700388584,15.0,"trf (sparse, lsmr)",True
all_gaussian,1.2426470180338025,0.6919883609928431,5.3027106025166795,0.03359662267950497,0.10092914089415973,0.6202656236795492,0.12068312815182415,120755.2455526051,10446.457854615193,0.0013445420045172796,0.5912606250058161,60.0,"trf (sparse, lsmr)",True
all_robust,0.15465764754452704,0.13412760924608394,0.4199404783750787,0.02917034577999626,0.031793143452018016,0.19920026466305105,0.04001245112685514,9670.787341197232,906.1993356951322,0.0013722089934162796,1.3965092090074904,143.0,"trf (sparse, lsmr)",True
