factor_index,kind,factor_id,label,pose_ids,raw_residual,normalized_norm,robust_weight
65,odometry,64,"odom(64,65)","[64, 65]","[0.010996615739992333, -0.005893160023111653, 0.007903307086543965]",0.5109898537491222,1.0
66,odometry,65,"odom(65,66)","[65, 66]","[0.01244215617198674, -0.015560806963866733, 0.004607141241912416]",0.5606708318354038,1.0
67,odometry,66,"odom(66,67)","[66, 67]","[0.011377994457636431, -0.015693600152525397, 0.006792156925276682]",0.6214785774665141,1.0
68,odometry,67,"odom(67,68)","[67, 68]","[0.011538845397419673, -0.015674001897357563, 0.010724705600562157]",0.7743146708656291,1.0
69,odometry,68,"odom(68,69)","[68, 69]","[0.005821061628056845, -0.016185345930883416, 0.014582039214245501]",0.938794141431103,1.0
70,odometry,69,"odom(69,70)","[69, 70]","[-0.0057426094548310574, -0.016188097631732498, 0.015042226496796651]",0.9608243998060003,1.0
71,odometry,70,"odom(70,71)","[70, 71]","[-0.05925530440340154, 0.0032787185322236123, -0.018349448175195793]",1.4861710221312519,1.0
72,odometry,71,"odom(71,72)","[71, 72]","[-0.059420015513573565, 0.0027482350527184563, -0.019173314351980775]",1.5192001106311805,1.0
73,odometry,72,"odom(72,73)","[72, 73]","[-0.05825472631488393, 0.005484489755954058, -0.021148015774901996]",1.5895837007313738,1.0
74,odometry,73,"odom(73,74)","[73, 74]","[-0.05825506078519693, 0.005486028783315458, -0.022123818919590477]",1.6300694586457773,1.0
75,odometry,74,"odom(74,75)","[74, 75]","[-0.057823268309357356, 0.006192497874409286, -0.023315107684704017]",1.677606333257959,1.0
76,odometry,75,"odom(75,76)","[75, 76]","[-0.05477803397342074, 0.008790279360498976, -0.00323384063610499]",1.0427360495587727,1.0
77,odometry,76,"odom(76,77)","[76, 77]","[-0.03776299746461109, 0.02321688659494181, -0.010345780837663021]",1.1143583093091667,1.0
78,odometry,77,"odom(77,78)","[77, 78]","[0.01724256176579042, 0.025927645497764662, -0.016217461744997497]",1.2078078088982696,1.0
79,odometry,78,"odom(78,79)","[78, 79]","[0.03279783680831738, 0.023336919862188412, -0.0200786825289776]",1.429854770112495,1.0
80,odometry,79,"odom(79,80)","[79, 80]","[0.03829912058077195, 0.021919725025986825, -0.0229294876133328]",1.5810896172716224,1.0
81,odometry,80,"odom(80,81)","[80, 81]","[0.02019845901492523, 0.02355738920850803, -0.03553269297941197]",2.1177151740292803,1.0
82,odometry,81,"odom(81,82)","[81, 82]","[0.01994926382641471, 0.023592515950514648, -0.039356785424501606]",2.316606222427555,1.0
83,odometry,82,"odom(82,83)","[82, 83]","[0.015295087110629157, 0.024156234678657962, -0.04131268472877103]",2.412755876359226,1.0
84,odometry,83,"odom(83,84)","[83, 84]","[0.02038385457420966, 0.02353184647597853, -0.04494460162880687]",2.6122817481563416,1.0
85,odometry,84,"odom(84,85)","[84, 85]","[0.01808599318301818, 0.0066556372597407765, -0.04291660780177242]",2.4143262256854348,1.0
86,odometry,85,"odom(85,86)","[85, 86]","[0.01358909506076067, 0.0022318117564922944, -0.02567310288064739]",1.4489294321149087,1.0
87,odometry,86,"odom(86,87)","[86, 87]","[0.013753071795490124, 0.0020603005257917653, -0.026006385295442858]",1.4674596355774008,1.0
88,odometry,87,"odom(87,88)","[87, 88]","[0.0134440670177991, 0.0023711424225471844, -0.026588012453291565]",1.4987323497009042,1.0
89,odometry,88,"odom(88,89)","[88, 89]","[0.013683335682567077, 0.002134912940623311, -0.027116689758804657]",1.5281055087247943,1.0
90,odometry,89,"odom(89,90)","[89, 90]","[0.00011123286934916488, -0.006549912429671422, -0.018833190211009043]",1.0628945872876197,1.0
91,odometry,90,"odom(90,91)","[90, 91]","[-0.009711338413948778, -0.007123242598469857, -0.004828388103356396]",0.38020060983078563,1.0
92,odometry,91,"odom(91,92)","[91, 92]","[-0.006255367456474259, -0.007427322244817944, -0.0031384826427802714]",0.297270282015173,1.0
93,odometry,92,"odom(92,93)","[92, 93]","[-0.00597999842216107, -0.007464402189002016, -0.0023737214541754703]",0.2733051795783154,1.0
94,odometry,93,"odom(93,94)","[93, 94]","[-0.013627614621830708, -0.005579073417264768, -0.001362418724542902]",0.3041880195240132,1.0
95,odometry,94,"odom(94,95)","[94, 95]","[-0.01638226902305684, -0.004191557236962688, -0.0003838887022018511]",0.3217409771363281,1.0
96,odometry,95,"odom(95,96)","[95, 96]","[-0.012666797013606512, -0.003242861779999693, -0.00047789012456034285]",0.24965989877495418,1.0
97,odometry,96,"odom(96,97)","[96, 97]","[-0.012638594766738454, -0.0032608655075765276, 0.00035814594221772467]",0.24875840353084752,1.0
98,odometry,97,"odom(97,98)","[97, 98]","[-0.012628807611486548, -0.0032670736966353003, 0.0010270247210009131]",0.25434558822744885,1.0
99,odometry,98,"odom(98,99)","[98, 99]","[-0.012693549900807732, -0.003225654286607295, 0.0013194564970882006]",0.25909836770161876,1.0
100,odometry,99,"odom(99,100)","[99, 100]","[-0.012608196963942775, -0.003280078021168217, 0.002172519038806886]",0.27550161831707853,1.0
101,odometry,100,"odom(100,101)","[100, 101]","[-0.00662908162541731, 0.004464169673141526, -0.0018241882472382898]",0.20264787770284143,1.0
102,odometry,101,"odom(101,102)","[101, 102]","[-0.00645918004833107, 0.004504836720643189, -0.0021767241102286228]",0.21208980697622426,1.0
103,odometry,102,"odom(102,103)","[102, 103]","[-0.0027410540247045923, 0.005089539692938405, -0.0033190594816030483]",0.24006225516925,1.0
104,odometry,103,"odom(103,104)","[103, 104]","[-0.0008035255861331692, 0.005199019531493671, -0.004688303760678192]",0.30019774243076275,1.0
105,odometry,104,"odom(104,105)","[104, 105]","[-0.0007839433421288344, 0.005199521315966474, -0.005960453038504454]",0.3632131663651512,1.0
106,odometry,105,"odom(105,106)","[105, 106]","[-0.010437393783261917, -0.0007768627165361842, -0.007023638265263088]",0.4344690091534119,1.0
107,odometry,106,"odom(106,107)","[106, 107]","[-0.010444048028866115, -0.0007620851449803741, -0.006843989753894331]",0.42556021365050367,1.0
