gps_sigma_scale,rmse_ate_m,mean_position_error_m,max_position_error_m,final_drift_m,heading_rmse_rad,relative_translation_rmse_m_lag5,relative_rotation_rmse_rad_lag5,objective_initial,objective_final,build_time_s,solve_time_s,nfev,converged,mean_ellipse_area_95_m2,max_ellipse_area_95_m2
0.2,1.426079992811286,0.8257011942497952,6.361031736004568,0.33096934283556745,0.10821206655019067,0.7253778788444459,0.11108244023016108,197744.15695499035,13751.159978797134,0.0018152919947169721,0.5958251249976456,60,True,0.10932024432155864,0.18215172263160398
1.0,1.2426470180338025,0.6919883609928431,5.3027106025166795,0.03359662267950497,0.10092914089415973,0.6202656236795492,0.12068312815182415,120755.2455526051,10446.457854615193,0.0014239169977372512,0.5899830830021529,60,True,0.1325841674288139,0.21791169364060645
5.0,1.2578802955163333,0.7040193967805095,5.564090955708886,0.01442569521596831,0.10261117879989716,0.6240384848198686,0.12284171074896152,117675.6890965097,10221.588255685087,0.001596083995536901,0.5896919999941019,56,True,0.13363208725483441,0.2209020238020325
