pose_id,ellipse_area95_odom_only_m2,ellipse_area95_all_gaussian_m2,ellipse_area95_all_robust_m2
0,0.42351167014484653,0.13539176116787335,0.135506434093035
20,7.599021768779945,0.12997401252366014,0.13522011495328384
40,28.878685877713398,0.11972658546304232,0.12892486307774192
60,47.58231086984861,0.1504782077625406,0.15593723770390727
84,45.899737349437935,0.13615126909526848,0.13716144081142048
100,50.79477574775647,0.21791169364060645,0.22661658565304169
130,95.62831897325782,0.12156680590929675,0.12217944374515255
160,72.7149116550452,0.14926506179492768,0.15636987244834466
176,81.8263203900142,0.12837327853587002,0.13065906231014524
200,133.09331402963622,0.1623648873570839,0.16315781251723793
230,211.35657642069364,0.12497672038399292,0.16110090070926894
259,142.9628780727294,0.4501404515901947,0.4478984660088589
