pose_id,var_x,var_y,cov_xy,ellipse_area_95_m2,largest_std_m
0,0.0072027027293068546,0.007267681608972267,-0.000779657228563929,0.13539176116787335,0.08952947025957317
20,0.0077670772304625855,0.0061853997439889645,0.0006010505682454848,0.12997401252366014,0.08927239236225598
40,0.006825586287704224,0.006000215513393442,0.0007042437584969749,0.11972658546304232,0.08502442954152613
60,0.008048249457602628,0.007943215037384592,-0.00013081163417448372,0.1504782077625406,0.09020361587144238
84,0.007297210514425127,0.007374422137752872,-0.001221276281550836,0.13615126909526848,0.09250785177585782
100,0.014085442343748313,0.009515400518318114,-2.619985989400918e-05,0.21791169364060645,0.11868273902097175
130,0.006380378602572942,0.006803743106782052,-0.0013031282857496962,0.12156680590929675,0.0889509426370705
160,0.007944969858492478,0.00791514631876262,-9.35517565755103e-06,0.14926506179492768,0.08914965789527378
176,0.0065762949535463815,0.0070790679090266964,-0.0002001381232269623,0.12837327853587002,0.08455180352875483
200,0.009176922900515564,0.008212830973280206,-0.0009801585606685147,0.1623648873570839,0.09893006897142462
230,0.006071765284020006,0.007302253707489211,0.0005023953566564236,0.12497672038399292,0.08649461449411319
259,0.0211438072482031,0.02723979460380788,0.0020098413310762247,0.4501404515901947,0.16686159198235162
