pose_id,x,y,theta
165,8.300000000,7.160000000,0.122461057
166,9.166666667,7.266666667,0.122461057
167,9.600000000,7.320000000,0.122461057
168,10.466666667,7.426666667,0.122461057
169,11.333333333,7.533333333,0.122461057
170,11.766666667,7.586666667,0.122461057
171,12.633333333,7.693333333,0.122461057
172,13.500000000,7.800000000,-0.348401796
173,14.083333333,7.166666667,-0.826470942
174,14.375000000,6.850000000,-0.826470942
175,14.958333333,6.216666667,-0.826470942
176,15.541666667,5.583333333,-0.826470942
177,15.833333333,5.266666667,-0.826470942
178,16.416666667,4.633333333,-0.826470942
179,17.000000000,4.000000000,-1.313822238
180,16.653846154,3.730769231,-2.480549485
181,15.961538462,3.192307692,-2.480549485
182,15.269230769,2.653846154,-2.480549485
183,14.923076923,2.384615385,-2.480549485
184,14.230769231,1.846153846,-2.480549485
185,13.538461538,1.307692308,-2.480549485
186,12.846153846,0.769230769,-2.480549485
187,12.500000000,0.500000000,-2.793561185
188,11.617647059,0.323529412,-2.944197094
189,10.735294118,0.147058824,-2.944197094
190,10.294117647,0.058823529,-2.944197094
191,9.411764706,-0.117647059,-2.944197094
192,8.529411765,-0.294117647,-2.944197094
193,8.088235294,-0.382352941,-2.944197094
194,7.205882353,-0.558823529,-2.944197094
195,6.323529412,-0.735294118,-2.944197094
196,5.882352941,-0.823529412,-2.944197094
197,5.000000000,-1.000000000,3.128186997
198,4.127272727,-0.800000000,2.916315874
199,3.254545455,-0.600000000,2.916315874
200,2.818181818,-0.500000000,2.916315874
201,1.945454545,-0.300000000,2.916315874
202,1.072727273,-0.100000000,2.916315874
203,0.636363636,0.000000000,2.764034188
204,-0.125000000,0.375000000,2.561434491
205,-0.775000000,0.925000000,2.439335722
206,-1.100000000,1.200000000,2.439335722
207,-1.750000000,1.750000000,2.439335722
208,-2.400000000,2.300000000,2.439335722
209,-2.725000000,2.575000000,2.439335722
210,-3.375000000,3.125000000,2.439335722
211,-4.025000000,3.675000000,2.439335722
212,-4.675000000,4.225000000,2.439335722
213,-5.000000000,4.500000000,2.123720060
214,-5.352941176,5.323529412,1.975688113
215,-5.705882353,6.147058824,1.975688113
216,-5.882352941,6.558823529,1.975688113
217,-6.235294118,7.382352941,1.975688113
218,-6.588235294,8.205882353,1.975688113
219,-6.764705882,8.617647059,1.975688113
220,-7.117647059,9.441176471,1.975688113
221,-7.470588235,10.264705882,1.975688113
222,-7.647058824,10.676470588,1.975688113
223,-8.000000000,11.500000000,1.365070932
224,-7.350000000,12.100000000,0.745419476
225,-6.700000000,12.700000000,0.745419476
226,-6.375000000,13.000000000,0.745419476
227,-5.725000000,13.600000000,0.745419476
228,-5.075000000,14.200000000,0.745419476
